/home/gena/Develop/comp_vision/dnn/openvino_dev//devices_detection/truck_learning/train_after_xmlbin/one_iter/export/cpp/model_beforeMO.xml
[ WARNING ] Automatically detected layout '[N,C,H,W]' for input 'image' will be used.

OPS_NAME

reconvert.cpp#251: nodes number=987,ordered=987
reconvert.cpp#255: friendly_name = Constant_6702, ops_name = Constant_3
reconvert.cpp#255: friendly_name = Transpose_5463, ops_name = Transpose_5463
reconvert.cpp#255: friendly_name = Constant_5462, ops_name = Constant_5462
reconvert.cpp#255: friendly_name = Convert_5461, ops_name = Convert_5461
reconvert.cpp#255: friendly_name = Conv_36, ops_name = Add_103
reconvert.cpp#255: friendly_name = Reshape_1071, ops_name = Constant_101
reconvert.cpp#255: friendly_name = Conv_36/WithoutBiases, ops_name = Convolution_99
reconvert.cpp#255: friendly_name = 1297, ops_name = Constant_97
reconvert.cpp#255: friendly_name = Clip_35, ops_name = Clamp_95
reconvert.cpp#255: friendly_name = Conv_32, ops_name = Add_93
reconvert.cpp#255: friendly_name = Reshape_1021, ops_name = Constant_91
reconvert.cpp#255: friendly_name = Conv_32/WithoutBiases, ops_name = GroupConvolution_89
reconvert.cpp#255: friendly_name = Reshape_935, ops_name = Constant_87
reconvert.cpp#255: friendly_name = Clip_31, ops_name = Clamp_85
reconvert.cpp#255: friendly_name = Conv_28, ops_name = Add_83
reconvert.cpp#255: friendly_name = Reshape_898, ops_name = Constant_81
reconvert.cpp#255: friendly_name = Conv_28/WithoutBiases, ops_name = Convolution_79
reconvert.cpp#255: friendly_name = 1291, ops_name = Constant_77
reconvert.cpp#255: friendly_name = Conv_55, ops_name = Add_161
reconvert.cpp#255: friendly_name = Reshape_1514, ops_name = Constant_159
reconvert.cpp#255: friendly_name = Conv_55/WithoutBiases, ops_name = Convolution_157
reconvert.cpp#255: friendly_name = 1315, ops_name = Constant_155
reconvert.cpp#255: friendly_name = Clip_54, ops_name = Clamp_153
reconvert.cpp#255: friendly_name = Conv_51, ops_name = Add_151
reconvert.cpp#255: friendly_name = Reshape_1464, ops_name = Constant_149
reconvert.cpp#255: friendly_name = Conv_51/WithoutBiases, ops_name = GroupConvolution_147
reconvert.cpp#255: friendly_name = Reshape_1378, ops_name = Constant_145
reconvert.cpp#255: friendly_name = Clip_50, ops_name = Clamp_143
reconvert.cpp#255: friendly_name = Conv_47, ops_name = Add_141
reconvert.cpp#255: friendly_name = Reshape_1341, ops_name = Constant_139
reconvert.cpp#255: friendly_name = Conv_47/WithoutBiases, ops_name = Convolution_137
reconvert.cpp#255: friendly_name = 1309, ops_name = Constant_135
reconvert.cpp#255: friendly_name = Conv_65, ops_name = Add_191
reconvert.cpp#255: friendly_name = Reshape_1736, ops_name = Constant_189
reconvert.cpp#255: friendly_name = Conv_65/WithoutBiases, ops_name = Convolution_187
reconvert.cpp#255: friendly_name = 1324, ops_name = Constant_185
reconvert.cpp#255: friendly_name = Clip_64, ops_name = Clamp_183
reconvert.cpp#255: friendly_name = Conv_61, ops_name = Add_181
reconvert.cpp#255: friendly_name = Reshape_1686, ops_name = Constant_179
reconvert.cpp#255: friendly_name = Conv_61/WithoutBiases, ops_name = GroupConvolution_177
reconvert.cpp#255: friendly_name = Reshape_1600, ops_name = Constant_175
reconvert.cpp#255: friendly_name = Clip_60, ops_name = Clamp_173
reconvert.cpp#255: friendly_name = Conv_57, ops_name = Add_171
reconvert.cpp#255: friendly_name = Reshape_1563, ops_name = Constant_169
reconvert.cpp#255: friendly_name = Conv_57/WithoutBiases, ops_name = Convolution_167
reconvert.cpp#255: friendly_name = 1318, ops_name = Constant_165
reconvert.cpp#255: friendly_name = Conv_84, ops_name = Add_249
reconvert.cpp#255: friendly_name = Reshape_2179, ops_name = Constant_247
reconvert.cpp#255: friendly_name = Conv_84/WithoutBiases, ops_name = Convolution_245
reconvert.cpp#255: friendly_name = 1342, ops_name = Constant_243
reconvert.cpp#255: friendly_name = Clip_83, ops_name = Clamp_241
reconvert.cpp#255: friendly_name = Conv_80, ops_name = Add_239
reconvert.cpp#255: friendly_name = Reshape_2129, ops_name = Constant_237
reconvert.cpp#255: friendly_name = Conv_80/WithoutBiases, ops_name = GroupConvolution_235
reconvert.cpp#255: friendly_name = Reshape_2043, ops_name = Constant_233
reconvert.cpp#255: friendly_name = Clip_79, ops_name = Clamp_231
reconvert.cpp#255: friendly_name = Conv_76, ops_name = Add_229
reconvert.cpp#255: friendly_name = Reshape_2006, ops_name = Constant_227
reconvert.cpp#255: friendly_name = Conv_76/WithoutBiases, ops_name = Convolution_225
reconvert.cpp#255: friendly_name = 1336, ops_name = Constant_223
reconvert.cpp#255: friendly_name = Conv_94, ops_name = Add_279
reconvert.cpp#255: friendly_name = Reshape_2401, ops_name = Constant_277
reconvert.cpp#255: friendly_name = Conv_94/WithoutBiases, ops_name = Convolution_275
reconvert.cpp#255: friendly_name = 1351, ops_name = Constant_273
reconvert.cpp#255: friendly_name = Clip_93, ops_name = Clamp_271
reconvert.cpp#255: friendly_name = Conv_90, ops_name = Add_269
reconvert.cpp#255: friendly_name = Reshape_2351, ops_name = Constant_267
reconvert.cpp#255: friendly_name = Conv_90/WithoutBiases, ops_name = GroupConvolution_265
reconvert.cpp#255: friendly_name = Reshape_2265, ops_name = Constant_263
reconvert.cpp#255: friendly_name = Clip_89, ops_name = Clamp_261
reconvert.cpp#255: friendly_name = Conv_86, ops_name = Add_259
reconvert.cpp#255: friendly_name = Reshape_2228, ops_name = Constant_257
reconvert.cpp#255: friendly_name = Conv_86/WithoutBiases, ops_name = Convolution_255
reconvert.cpp#255: friendly_name = 1345, ops_name = Constant_253
reconvert.cpp#255: friendly_name = Conv_104, ops_name = Add_309
reconvert.cpp#255: friendly_name = Reshape_2623, ops_name = Constant_307
reconvert.cpp#255: friendly_name = Conv_104/WithoutBiases, ops_name = Convolution_305
reconvert.cpp#255: friendly_name = 1360, ops_name = Constant_303
reconvert.cpp#255: friendly_name = Clip_103, ops_name = Clamp_301
reconvert.cpp#255: friendly_name = Conv_100, ops_name = Add_299
reconvert.cpp#255: friendly_name = Reshape_2573, ops_name = Constant_297
reconvert.cpp#255: friendly_name = Conv_100/WithoutBiases, ops_name = GroupConvolution_295
reconvert.cpp#255: friendly_name = Reshape_2487, ops_name = Constant_293
reconvert.cpp#255: friendly_name = Clip_99, ops_name = Clamp_291
reconvert.cpp#255: friendly_name = Conv_96, ops_name = Add_289
reconvert.cpp#255: friendly_name = Reshape_2450, ops_name = Constant_287
reconvert.cpp#255: friendly_name = Conv_96/WithoutBiases, ops_name = Convolution_285
reconvert.cpp#255: friendly_name = 1354, ops_name = Constant_283
reconvert.cpp#255: friendly_name = Conv_123, ops_name = Add_367
reconvert.cpp#255: friendly_name = Reshape_3066, ops_name = Constant_365
reconvert.cpp#255: friendly_name = Conv_123/WithoutBiases, ops_name = Convolution_363
reconvert.cpp#255: friendly_name = 1378, ops_name = Constant_361
reconvert.cpp#255: friendly_name = Clip_122, ops_name = Clamp_359
reconvert.cpp#255: friendly_name = Conv_119, ops_name = Add_357
reconvert.cpp#255: friendly_name = Reshape_3016, ops_name = Constant_355
reconvert.cpp#255: friendly_name = Conv_119/WithoutBiases, ops_name = GroupConvolution_353
reconvert.cpp#255: friendly_name = Reshape_2930, ops_name = Constant_351
reconvert.cpp#255: friendly_name = Clip_118, ops_name = Clamp_349
reconvert.cpp#255: friendly_name = Conv_115, ops_name = Add_347
reconvert.cpp#255: friendly_name = Reshape_2893, ops_name = Constant_345
reconvert.cpp#255: friendly_name = Conv_115/WithoutBiases, ops_name = Convolution_343
reconvert.cpp#255: friendly_name = 1372, ops_name = Constant_341
reconvert.cpp#255: friendly_name = Conv_133, ops_name = Add_397
reconvert.cpp#255: friendly_name = Reshape_3288, ops_name = Constant_395
reconvert.cpp#255: friendly_name = Conv_133/WithoutBiases, ops_name = Convolution_393
reconvert.cpp#255: friendly_name = 1387, ops_name = Constant_391
reconvert.cpp#255: friendly_name = Clip_132, ops_name = Clamp_389
reconvert.cpp#255: friendly_name = Conv_129, ops_name = Add_387
reconvert.cpp#255: friendly_name = Reshape_3238, ops_name = Constant_385
reconvert.cpp#255: friendly_name = Conv_129/WithoutBiases, ops_name = GroupConvolution_383
reconvert.cpp#255: friendly_name = Reshape_3152, ops_name = Constant_381
reconvert.cpp#255: friendly_name = Clip_128, ops_name = Clamp_379
reconvert.cpp#255: friendly_name = Conv_125, ops_name = Add_377
reconvert.cpp#255: friendly_name = Reshape_3115, ops_name = Constant_375
reconvert.cpp#255: friendly_name = Conv_125/WithoutBiases, ops_name = Convolution_373
reconvert.cpp#255: friendly_name = 1381, ops_name = Constant_371
reconvert.cpp#255: friendly_name = Conv_152, ops_name = Add_1351
reconvert.cpp#255: friendly_name = Reshape_3731, ops_name = Constant_1349
reconvert.cpp#255: friendly_name = Conv_152/WithoutBiases, ops_name = Convolution_1347
reconvert.cpp#255: friendly_name = 1405, ops_name = Constant_1345
reconvert.cpp#255: friendly_name = Clip_151, ops_name = Clamp_1343
reconvert.cpp#255: friendly_name = Conv_148, ops_name = Add_1341
reconvert.cpp#255: friendly_name = Reshape_3681, ops_name = Constant_1339
reconvert.cpp#255: friendly_name = Conv_148/WithoutBiases, ops_name = GroupConvolution_1337
reconvert.cpp#255: friendly_name = Reshape_3595, ops_name = Constant_1335
reconvert.cpp#255: friendly_name = Clip_147, ops_name = Clamp_1333
reconvert.cpp#255: friendly_name = Conv_144, ops_name = Add_1331
reconvert.cpp#255: friendly_name = Reshape_3558, ops_name = Constant_1329
reconvert.cpp#255: friendly_name = Conv_144/WithoutBiases, ops_name = Convolution_1327
reconvert.cpp#255: friendly_name = 1399, ops_name = Constant_1325
reconvert.cpp#255: friendly_name = Conv_162, ops_name = Add_1381
reconvert.cpp#255: friendly_name = Reshape_3953, ops_name = Constant_1379
reconvert.cpp#255: friendly_name = Conv_162/WithoutBiases, ops_name = Convolution_1377
reconvert.cpp#255: friendly_name = 1414, ops_name = Constant_1375
reconvert.cpp#255: friendly_name = Clip_161, ops_name = Clamp_1373
reconvert.cpp#255: friendly_name = Conv_158, ops_name = Add_1371
reconvert.cpp#255: friendly_name = Reshape_3903, ops_name = Constant_1369
reconvert.cpp#255: friendly_name = Conv_158/WithoutBiases, ops_name = GroupConvolution_1367
reconvert.cpp#255: friendly_name = Reshape_3817, ops_name = Constant_1365
reconvert.cpp#255: friendly_name = Clip_157, ops_name = Clamp_1363
reconvert.cpp#255: friendly_name = Conv_154, ops_name = Add_1361
reconvert.cpp#255: friendly_name = Reshape_3780, ops_name = Constant_1359
reconvert.cpp#255: friendly_name = Conv_154/WithoutBiases, ops_name = Convolution_1357
reconvert.cpp#255: friendly_name = 1408, ops_name = Constant_1355
reconvert.cpp#255: friendly_name = ReduceMax_805, ops_name = ReduceMax_2669
reconvert.cpp#255: friendly_name = Constant_6689, ops_name = Constant_2667
reconvert.cpp#255: friendly_name = Mul_804, ops_name = Multiply_2665
reconvert.cpp#255: friendly_name = Constant_18945, ops_name = Constant_2663
reconvert.cpp#255: friendly_name = Sub_802, ops_name = Subtract_2661
reconvert.cpp#255: friendly_name = ReduceMin_801, ops_name = ReduceMin_2659
reconvert.cpp#255: friendly_name = Constant_6685, ops_name = Constant_2657
reconvert.cpp#255: friendly_name = feature_vector/sink_port_0, ops_name = Result_2649
reconvert.cpp#255: friendly_name = feature_vector, ops_name = Concat_2647
reconvert.cpp#255: friendly_name = GlobalAveragePool_797, ops_name = ReduceMean_2645
reconvert.cpp#255: friendly_name = Range_6656, ops_name = Constant_2643
reconvert.cpp#255: friendly_name = GlobalAveragePool_796, ops_name = ReduceMean_2641
reconvert.cpp#255: friendly_name = Range_6624, ops_name = Constant_2639
reconvert.cpp#255: friendly_name = labels/sink_port_0, ops_name = Result_5467
reconvert.cpp#255: friendly_name = labels, ops_name = Convert_5466
reconvert.cpp#255: friendly_name = Reshape_2633, ops_name = Reshape_2633
reconvert.cpp#255: friendly_name = 1246, ops_name = Constant_2626
reconvert.cpp#255: friendly_name = Cast_788, ops_name = Convert_2624
reconvert.cpp#255: friendly_name = Gather_787, ops_name = Gather_2622
reconvert.cpp#255: friendly_name = Constant_6607, ops_name = Constant_2620
reconvert.cpp#255: friendly_name = 1243, ops_name = Constant_2618
reconvert.cpp#255: friendly_name = Concat_785, ops_name = Concat_2606
reconvert.cpp#255: friendly_name = Unsqueeze_784, ops_name = Unsqueeze_2604
reconvert.cpp#255: friendly_name = Constant_6604, ops_name = Constant_2602
reconvert.cpp#255: friendly_name = Cast_783, ops_name = Convert_2600
reconvert.cpp#255: friendly_name = Gather_782, ops_name = Gather_2598
reconvert.cpp#255: friendly_name = Constant_6601, ops_name = Constant_2596
reconvert.cpp#255: friendly_name = Squeeze_767, ops_name = Squeeze_2557
reconvert.cpp#255: friendly_name = Constant_6577, ops_name = Constant_2555
reconvert.cpp#255: friendly_name = Gather_766, ops_name = Gather_2553
reconvert.cpp#255: friendly_name = Constant_6575, ops_name = Constant_2551
reconvert.cpp#255: friendly_name = 1222, ops_name = Constant_2549
reconvert.cpp#255: friendly_name = NonMaxSuppression_764, ops_name = NonMaxSuppression_2547
reconvert.cpp#255: friendly_name = Constant_6573, ops_name = Constant_2545
reconvert.cpp#255: friendly_name = Constant_6572, ops_name = Constant_2543
reconvert.cpp#255: friendly_name = 1218, ops_name = Constant_2541
reconvert.cpp#255: friendly_name = Unsqueeze_760, ops_name = Unsqueeze_2539
reconvert.cpp#255: friendly_name = Constant_6570, ops_name = Constant_2537
reconvert.cpp#255: friendly_name = Unsqueeze_759, ops_name = Unsqueeze_2535
reconvert.cpp#255: friendly_name = Constant_6568, ops_name = Constant_2533
reconvert.cpp#255: friendly_name = Reshape_750, ops_name = Reshape_2529
reconvert.cpp#255: friendly_name = 1206, ops_name = Constant_2522
reconvert.cpp#255: friendly_name = Concat_718, ops_name = Concat_2367
reconvert.cpp#255: friendly_name = Slice_514, ops_name = StridedSlice_2365
reconvert.cpp#255: friendly_name = Constant_17490, ops_name = Constant_2363
reconvert.cpp#255: friendly_name = Constant_17487, ops_name = Constant_2361
reconvert.cpp#255: friendly_name = Constant_17484, ops_name = Constant_2359
reconvert.cpp#255: friendly_name = Softmax_509, ops_name = Softmax_2357
reconvert.cpp#255: friendly_name = Reshape_508, ops_name = Reshape_2353
reconvert.cpp#255: friendly_name = 948, ops_name = Constant_2346
reconvert.cpp#255: friendly_name = Transpose_506, ops_name = Transpose_2344
reconvert.cpp#255: friendly_name = Constant_5827, ops_name = Constant_2342
reconvert.cpp#255: friendly_name = Gather_290, ops_name = Gather_2340
reconvert.cpp#255: friendly_name = Constant_5301, ops_name = Constant_2338
reconvert.cpp#255: friendly_name = 716, ops_name = Constant_2336
reconvert.cpp#255: friendly_name = Conv_181, ops_name = Add_1474
reconvert.cpp#255: friendly_name = Reshape_4685, ops_name = Constant_1472
reconvert.cpp#255: friendly_name = Conv_181/WithoutBiases, ops_name = Convolution_1470
reconvert.cpp#255: friendly_name = bbox_head.cls_convs.1.3.weight, ops_name = Constant_1468
reconvert.cpp#255: friendly_name = Relu_180, ops_name = Relu_1466
reconvert.cpp#255: friendly_name = Conv_179, ops_name = Add_1464
reconvert.cpp#255: friendly_name = Reshape_4636, ops_name = Constant_1462
reconvert.cpp#255: friendly_name = Conv_179/WithoutBiases, ops_name = GroupConvolution_1460
reconvert.cpp#255: friendly_name = Reshape_4550, ops_name = Constant_1458
reconvert.cpp#255: friendly_name = Slice_303, ops_name = StridedSlice_2334
reconvert.cpp#255: friendly_name = Constant_17478, ops_name = Constant_2332
reconvert.cpp#255: friendly_name = Constant_17475, ops_name = Constant_2330
reconvert.cpp#255: friendly_name = Constant_17472, ops_name = Constant_2328
reconvert.cpp#255: friendly_name = Softmax_298, ops_name = Softmax_2326
reconvert.cpp#255: friendly_name = Reshape_297, ops_name = Reshape_2322
reconvert.cpp#255: friendly_name = 723, ops_name = Constant_2315
reconvert.cpp#255: friendly_name = Transpose_295, ops_name = Transpose_2313
reconvert.cpp#255: friendly_name = Constant_5307, ops_name = Constant_2311
reconvert.cpp#255: friendly_name = Gather_288, ops_name = Gather_2309
reconvert.cpp#255: friendly_name = Constant_5299, ops_name = Constant_2307
reconvert.cpp#255: friendly_name = 714, ops_name = Constant_2305
reconvert.cpp#255: friendly_name = Conv_175, ops_name = Add_462
reconvert.cpp#255: friendly_name = Reshape_4345, ops_name = Constant_460
