/opt/intel/open_model_zoo/models/intel/vehicle-detection-0202/FP32/vehicle-detection-0202.xml
reconvert.cpp#243: friendly_name = 565, ops_name = Transpose_591
reconvert.cpp#243: friendly_name = Constant_2728, ops_name = Constant_589
reconvert.cpp#243: friendly_name = 564, ops_name = Reshape_451
reconvert.cpp#243: friendly_name = 563, ops_name = Concat_429
reconvert.cpp#243: friendly_name = 581, ops_name = Constant_427
reconvert.cpp#243: friendly_name = 559, ops_name = Gather_425
reconvert.cpp#243: friendly_name = Constant_2696, ops_name = Constant_423
reconvert.cpp#243: friendly_name = Constant_6464, ops_name = Constant_421
reconvert.cpp#243: friendly_name = 557, ops_name = ShapeOf_419
reconvert.cpp#243: friendly_name = 506, ops_name = Add_413
reconvert.cpp#243: friendly_name = Reshape_2062, ops_name = Constant_411
reconvert.cpp#243: friendly_name = Convolution_2042, ops_name = Convolution_409
reconvert.cpp#243: friendly_name = bbox_head.reg_convs.0.3.weight, ops_name = Constant_407
reconvert.cpp#243: friendly_name = 505, ops_name = Relu_405
reconvert.cpp#243: friendly_name = 504, ops_name = Add_403
reconvert.cpp#243: friendly_name = Constant_14255, ops_name = Constant_401
reconvert.cpp#243: friendly_name = Multiply_14250, ops_name = GroupConvolution_399
reconvert.cpp#243: friendly_name = Multiply_14725, ops_name = Constant_397
reconvert.cpp#243: friendly_name = 556, ops_name = Transpose_417
reconvert.cpp#243: friendly_name = Constant_2693, ops_name = Constant_415


reconvert.cpp#248: friendly_name = image, ordered_ops_name = Parameter_940
reconvert.cpp#248: friendly_name = Convert_937, ordered_ops_name = Convert_937
reconvert.cpp#248: friendly_name = Constant_938, ordered_ops_name = Constant_938
reconvert.cpp#248: friendly_name = Transpose_939, ordered_ops_name = Transpose_939
reconvert.cpp#248: friendly_name = Constant_15265, ordered_ops_name = Constant_3
reconvert.cpp#248: friendly_name = Divide_2774, ordered_ops_name = Multiply_5
reconvert.cpp#248: friendly_name = Gather_15264, ordered_ops_name = Constant_7
reconvert.cpp#248: friendly_name = Multiply_13967, ordered_ops_name = Convolution_9
reconvert.cpp#248: friendly_name = Constant_13972, ordered_ops_name = Constant_11
reconvert.cpp#248: friendly_name = 351, ordered_ops_name = Add_13
reconvert.cpp#248: friendly_name = 352, ordered_ops_name = Clamp_15
reconvert.cpp#248: friendly_name = Multiply_14387, ordered_ops_name = Constant_17
reconvert.cpp#248: friendly_name = Multiply_13974, ordered_ops_name = Convolution_19
reconvert.cpp#248: friendly_name = Constant_13979, ordered_ops_name = Constant_21
reconvert.cpp#248: friendly_name = 354, ordered_ops_name = Add_23
reconvert.cpp#248: friendly_name = 355, ordered_ops_name = Clamp_25
reconvert.cpp#248: friendly_name = Multiply_14396, ordered_ops_name = Constant_27
reconvert.cpp#248: friendly_name = Multiply_13981, ordered_ops_name = GroupConvolution_29
reconvert.cpp#248: friendly_name = Constant_13986, ordered_ops_name = Constant_31
reconvert.cpp#248: friendly_name = 357, ordered_ops_name = Add_33
reconvert.cpp#248: friendly_name = 358, ordered_ops_name = Clamp_35
